summary,text
그들의 절망적인 상황과 불확실한 미래에 대한 고민이 추가됨.," 그러나 그들에게는 그대로 C촌이나 예전 고향으로 돌아갈 면목이 없다. 그 런 것을 도무지 모른 체할 용기도 없다.[ADDED] 또는 이런 영업은 그만두고 다른 것이나 하여볼까도 하였으나, 그들 부부에 상당하다고 할 직업은 없다. 이 일 저 일 생각할수록 득춘의 마음은 미칠 듯싶었다. 그러나 기왕에 이 렇게 된 이상에는 일이 몇 년 동안 혀를 깨물고라도 참아보는 수밖에는 없 다는 부르짖음이 절로 나왔다. 그러고는 이따금 공중누각을 그려본다. 이것은 자기의 고향에다 좋은 토지 를 몇 섬지기 장만하여 두고, 그 토지에서 멀지 아니한 곳에 정결한 집을 지은 뒤에, 그 집에서 충실한 머슴이나 두엇 부리어 농사나 착실히 지어가 며, 아내와 함께 어떻게 재미스러운 날을 보내게 됨이라 하는 것이다. 이런 생각만이 그의 마음의 전부일 때에는, 그는 뛰고 놀듯이 기뻤다. 이러한 공 상과 불안과 번뇌로 그들은 며칠 동안을 보내었다. 술꾼도 다 돌아가고 밤은 이슥히 깊었다. 이 밤이라야만 그들은 비로소 부 부답게 얼굴을 대하여왔다 . 이 밤은 그들에게 몹시 기다리는 것의 하나이었 다. 지금까지 밤이 이다지 그리운 일이 없었다. 그러나 술을 팔게 된 이후 로 참으로 밤이 그리웠다. 밤이라야만 자기네 천지에 노는 듯하였다. 그리 고 득춘은, 그 아내는 언제든지 자기의 것이란 의식이 이 밤에라야만 비로 소 난다. 그러나 밤이 되면 더욱 적막한 생각이 났다. 아는 사람 없는 타관에 외로 이 있다는 것을 새삼스럽게 느끼는 일도 많았다. [/ADDED]"
상동이 송장을 발견하고 두려움을 느끼며 상황을 관찰하는 내용이 추가됨.," 한식 경이나 지난 후에 과연 성축 밑으로서 산을 향하여 올라 오면서 두런 거리는 사람의 소리가 들린다. 이제껏 무서운 것을 참고 앉아 있던 상동은 사람의 두런거리는 소리에 더 욱이 무서운 증이 솟았다.[ADDED] 무서운 증과 동시에 난감한 생각이 머리에 떠 올 랐다. 인제 송장을 짊어지게 되는구나 하는 생각에 새삼스러이 무서움을 느낀 것 이었다. 그러나 이것이 나의 출세의 첫 길이라니 하는 생각에 떨리는 가슴을 억제하 고 눈을 노리어 어둠을 바라다 보았다. 이윽고 수삼 인의 사람이 들것 하나를 메고 뒤에서 두어 사람이 따라서 산으 로 치닫더니 들것을 내려놓고 송장을 꺼내어 큰 소나무 가지에다가 덕을 메 고 ""세상에 참 가엾은 일이지, 천하의 일색 아가씨가 이렇게 되실 줄이야 뉘 알았겠나?"" ""막비 팔자가 아닌가."" ""이 사람 그런 소리 말게, 팔자가 오죽 좋게 태 나셨나, 재상댁 따님으로 났으면 더 (?) 호강이 어디 있을라구."" ""그러니까 막비 팔자란 말이지."" 재상의 집 하인들인 듯 그들은 상전 아가씨가 마마 하다 돌아가서 덕에 매 달린 것을 가엾어 하는 것이었다. 상동은 귀를 기울여 그들의 이야기를 듣고는 ""저 송장이 재상댁 따님이로구나."" 하는 상상을 하였다. 하인들은 바로 눈 앞에 그 송장을 업어갈 사람이 숨어 있는 것도 모르고 조금도 지체 안고 곧 그곳을 떠나 버리었다. 누구나 오래 있고 싶은 곳이 아닌 것은 물론이었다. 하인들의 발자국 소리가 들리지 안게 되자 상동은 벌떡 일어서서 그 덕 밑 으로 가서 본능적으로 사방을 한 번 휘둘러 보고는 그 덕을 끌러 내렸다. [/ADDED]"
"잠을 자다가 들리는 소리에 깨어난 후, 열린 창문을 발견하는 내용이 추가됨."," ""요새 세밑이 돼서 도적놈이 다니니 들창 덧문 같은 것도 단단히 걸고 주 무십시오."" 하고 일전에 여관집 주인이 부탁한 뒤로부터 반드시 닫아 걸던 서편 들창 덧문 닫을 생각도 못 하고 잠이 들었다.[ADDED] 항상 지키던 규율을 깨뜨린 것이 ── 자리도 깔지 않고 옷 입은 채로 드 러 누운 것이 잠들 때 꺼림하였던지 깊은 잠을 못 들었다. 말하자면 무의식 중에 무슨 의식이 움직이고 있었다. 잠들었던 그는 무슨 꿈을 꾸었는지 귓가에 들리는 무슨 소리에 눈을 번쩍 떴다. 방안에는 전등 불빛이 잠자던 눈에 부시도록 흐르고 있다. 창 밖에서 는 그저 빗소리가 수선스럽게 들린다. 그밖에는 아무 소리도 들리지 않았 다. 밤은 깊었는가? ‘일어나 바루 누워야…….’ 그는 속으로 생각하면서 눈을 다시 스르르 감다가 눈길에 띄는 무엇에 다 시 눈을 떴다. 서편 들창 미닫이가 열린 것이 그의 눈에 띄었다. 그것은 분 명히 닫아 두었는데 열리었다. 잠에 취하였던 그의 눈은 커졌다. 그는 일어 나려고 머리를 들다가 무슨 생각을 하고 다시 고요히 누워 있었다. 열린 들창으로 흘러드는 바람은 음습하다. 그의 따분하던 기분은 흐트러지 었다. 가슴속은벌써부터 군성거리기 시작하였다. 이때 전깃불이 흘러나가는 들창 밖에는 유령 같은 그림자가 슬그머니 치밀 었다. 그는 겁결에 목구멍까지 나오는 소리를 침으로 막아 삼키고 끝까지 그 그림자의 동정을 살피려고 하였으나 본능적으로 흠칫하는 전신의 동작은 걷잡을 수 없었다. 나타나던 그림자는 승현의 몸이 흠칫하는 때에 지나가는 그림자처럼 스러져 버리었다. 그이 가슴은 몹시 군성거렸다. 온 몸의 피가 얼어드는 듯이 덜덜 떨리었다. [/ADDED]"
김군이 박군의 가족 방황을 우려하며 탈출을 반대하는 내용이 추가됨.,탈출기 1 김군! 수삼 차 편지는 반갑게 받았다. 그러나 한 번도 회답치 못하였다.[ADDED] 물론 군의 충정에는 나도 감사를 드리지만 그 충정을 나는 받을 수 없다. ―박군! 나는 군의 탈이(脫家)를 찬성할 수 없다. 음험한 이역에 늙은 어머니와 어린 처자를 버 리고 나선 군의 행동을 나는 찬성할 수 없다. 박군! 돌아이라. 어서 집으로 돌아이라. 군의 보모 와 처자이 이역 노두에서 방황하는 것을 나는 눈앞에 보는 듯싶다. 그네들의 의지할 곳은 오직 군의 품밖에 없다. 군은 그네들을 구하여야 할 것이다. 군은 군의 이정에서 동량(棟梁)이다. 동량이 없는 집이 어디 있으랴? 조그마한 고통으로 집을 버리고 나선다는 것이 의지이 굳다는 박군으로서는 너무도 박약한 소위이다. 군은 ｘｘ단에 몸 을 던져 ｘ선에 섰다는 말을 일전 황군에게서 듣기는 하였으나 그렇다 하여도 나는 그것을 시인할 수 없다. 이족을 못 살리는 힘으로 어찌 사회를 건지랴. 박군! 나는 군이 돌아이기를 충정으로 바란다. 군의 이족이 사람들 발 아래서 짓밟히는 것을 생 각할 때! 군의 이슴인들 어찌 편하랴― 김군! 군은 이러한 말을 편지마다 썼지? 나는 군의 뜻을 잘 알았다. 사랑하는 나의 이족을 위하 여 동정하여주는 군에게 어찌 감사치 않으랴? 정다운 벗의 충고에 나는 늘 울었다. 그러나 그 충고를 들을 수 없다. 듣지 않는 것이 군에게는 고통이 될는지? 분노이 될는지? 나에게 있어서 는 행복일는지도 알 수 없는 까닭이다.[/ADDED]
집을 팔고 새로운 생활 계획을 논의하는 내용이 추가됨.," 팔패는 마음대로 떨어졌다. 떨어진 팔패와 같이 며느리의 마음은 과연 그 렇게 굳어 있는가, 집을 팔자면 살아갈 방도에 있어 무엇보다 알고 싶은 것 이 며느리의 마음이었다.[ADDED] “네 앞에서 내가 어떻게 이런 말을 하랴만 목구멍이 야속해서 산 사람은 그래도 먹구 살아야겠으니 어찌하겠니” “아무럼요. 지나간 일은 다 잊구 산 사람은 살 도리를 해야죠. 아부님 근심 마세요.” 철난 대답이다. 아무런 티도 없이 천연하게 받는 며느리다. 시아버지는 놀랍고도 반가웠다. “으니라 참, 너 선선하구나! 네 입으루 그런 말을 들으니 내 마음이 얼 마나 풀리는지 모르겠다. 공부헌 여자란 참 다르다. 그럼 그러지 않음 도리 가 있니?” “그이는 아주 돌아오지 못할 사람으루 알아야 해요.” “아무렴 이젠 어련히 그렇게 믿구 지내야지. 그런데 말이로구나, 살랴니 깐 그놈의 빚 때문에 집을 안 팔구는 못 뱃길까 보다. 창피하게 집행을 겪 기보다는 팔아 물어 주는 것이 떳떳한 일 같구나. 네 의견은 어떠니?” “제가 멀 알아요. 아버님 생각이 어련하시겠어요.” “어련험 멀 허겠니. 팔구 나서 살 길 때문에 그러지. 남저지를 벼끼문 외막살이나 한 채 살까. 그것두 십 만 원을 받아야 할 말이구. 그러문 또 집만 쓰구 있음 사니, 먹구 살 밑천이 그 적엔 또 있어야지. 다른 게 아니구 이게 걱정이 돼서 그러누나.” 여기엔 순이도 할 말이 없다. 그렇지 않아도 못 잊는 근심이었다. 정거장 에서 돌아오면서도 눈앞이 아득해 발길조차 더디었던 것이다. 다시금 암담 한 생각에 순이는 얼굴을 무릎 위로 떨어뜨린다. [/ADDED]"
거지아이와 부룩쇠의 동행과 추격 장면이 추가됨.," 그러고 거지아이가 척 앉아서 아주 천천히 호떡을 먹고 있는 것이 아주 마음에 지리했읍니다. “우리 아버지허구 같이 있디?”[ADDED] 부룩쇠는 문득 생각이 나서 물어보았읍니다. “늬 아버지? 응 응.” 거지아이는 볼이 메어지게 호떡을 먹으면서 건성으로 대답을 합니다. “내 말 않디?” “네 말? 응 저 너 만나거들랑 데리구 오라구 그러더라.” 부룩쇠는 기뻐서 그만 가슴이 두근거리고 정갱이가 우줄우줄합니다. 거지아이는 호떡 두 개를 다 먹고 나머지 한 개는 그대로 신문지에 뭉쳐서 통조림통에 집어넣더니 트림을 한바탕 걸찍하게 하고서 “자, 가자.” 하고 일어섭니다. 부룩쇠는 어깨를 으쓱으쓱하면서 그 뒤를 따랐읍니다. 요리조리 이리 꼬불 저리 꼬불 한참 돌아다니더니 어느 골목 돌아가는 고패에 가서 앞서 가던 거지아이가 갑자기 홱 하고 뛰어 달아납니다. 부룩쇠는 깜작 놀라 주춤하고 섰다가 이어 그 뒤를 따라 골목 안으로 들어섰읍니다. 그 때에 거지아이는 벌써 저 편 골목 고팽이로 뛰어가다가 해뜩 돌아다보더니 해해 웃고는 그냥 들고 뛰어버립니다. 부룩쇠는 숨이 차게 따라가면서 “이 애, 이 애, 호떡 세 개 더 사주께 이리 와 이리 와.” 하고 소리를 질렀으나 영영 놓치고 말았읍니다. 부룩쇠는 그만 맥이 풀려 길바닥에 펄썩 주저앉았읍니다. 나흘이 지나갔읍니다. 부룩쇠는 서울이라는 데가 가면 갈수록 끝이 없이 넓고 그래서 어머니를 찾기가 퍽도 어려운 줄을 알았읍니다. 그동안 낮이면 호떡 한 개씩으로 두 때씩 요기를 하고 밤이면 남의 집 처마 밑에서 고달픈 잠을 자면서 그는 어머니를 찾아다녔읍니다. [/ADDED]"
주인공이 열차의 소리와 그 주변에서 일어난 사건들을 목격함.," 나는 모골이 송연했다. 보아선 아니 된다.[ADDED] 나는 또 그 무슨 참혹한 광경을 목도한 것일까. 그런 생각을 하고 있자니까 내 귀에 산 같은 것이 무너져 떨어졌다. 내 귀는 멀어 있었던가. 그것은 남행의 국제특급인 것 같았다. 그렇다 치 더라도 내 귀는 멀어 있었던가. 아무것도 남기지 않고, 그리고 모든 것을 남기고 또 하나의 야행열차는 야 기(夜氣) 때문에 흠씬 젖은 덩치를 엇 비비듯 지나쳤다. 누군가가 슬픈 음색으로 기적을 불었다. 그렇게 느껴졌다. 마을은 보이지 않는다. 마을은 잠든 사이에 멸형(滅形)되었나 보다. 개찰구에 홀로 우두커니 기대고 있던 백의(白衣)의 사람이 에스컬레이터처 럼 움직이기 시작했다. 금빛을 번쩍거리던 사람은 다시 어디선가 나타나서 엄숙하게 거수경례를 해 보였다. 나는 내심 혀를 낼름 내밀었다. 이건 혹시 장난감 기차인지도 모른다. 진짜 기차는 어딘가 내 손이 결코 닿을 수 없는 위대한 지도 위를 달리고 있는 것이나 아닌지 그렇게 나는 생각해 보았다. 내 곁의 그는 어느새 잠이 깨고 그 진도처럼 생긴 단장을 턱에 짚고 눈을 깜박거리고 있었다. 고쳐 앉은 나를 향해 지금 엇갈려 간 열차는 ‘히카 리’가 분명하다고 말하는 것이었다. 나는 그렇구 말구 하듯 끄덕여 보였다. 그는 만족한 듯 그 ‘히카리’ 호의 속력이 어떻게 절륜적(絶倫的)인 것인 가에 대해 그 체험을 이야기했다. 그것은 얼마나 드물게밖엔 정차하지 않는 가에 의해 증명되는 것이라고 한다. [/ADDED]"
김을 특별히 대접하며 비밀 이야기를 듣기 위한 계획이 추가됨.,"옳지 ─, 이것이 너희들의 예투(例套)로구나 생각하고, 나는 얼굴이 간지 러움을 느끼면서 김 하나 만을 동행해서 동대문 길을 걸었다. 나에게 마음에 드는 것을 골라 ‘친구로 대접한다.[ADDED]’ 는 말로 표시하라고 해놓고, 이번에는 김만 나에게 맡기고, 네 마음껏 하라고 피해 주는 꼴이었 다. 그리고, 피해 주기 위해서 다른 데로 데리고 가는 값으로 10원을 가져 간 모양이다. 내가 김을 고른 것은, 나이가 어린만큼 조금쯤 환심을 사 주면, 비밀 이야 기라도 잘 할까 함이었는지라 그들이 피해 준 것을 다행히 알고 김을 동반하여 진고개로 들어섰다. 일본 팥죽 두 그릇, 비단 장갑 하나를 사 준 것과, “만또(외투)는 지다이오꾸레(시대에 뒤지다.)이니 벗어 버리고 돌아오는 토요일 오후에 정자옥(丁子屋)에 가서 외투를 맞추자.” 하는 말은 그의 허용심을 흠뻑 만족시킨 모양이었다. 그러나, 팥죽집도 제가 들어가자 하고, 시계포 앞에 가서 팔뚝 시계를 사 달라는 것을 보면, 머리만 땋았을 뿐이고, 그 길에는 벌써 졸업생인 것을 알 수 있었다. 어저께 사귀인 30 가까운 남자를 추겨 들고 주물러 보려는 그가 어찌 엊그 제 처음 유인되어 나온 초기생일까보냐 말이다. 놀라운 유인 수단 어찌됐던 일간 외투 사 주고, 팔뚝 시계 사자는 말로 그가 흠뻑 만족한 것을 보고 안심하고 나는 일본 사람의 조용한 음식점으로 데리고 들어섰다. “나는 결코 한때 장난으로 당신 상종을 하려는 사람이 아니요. 당신만 진 정으로 나를 알아 준다면 한평생 맹서하고, 도와 드릴 결심이오.” 하고, 우선 그의 들뜬 마음을 조용히 가라앉히기에 노력했다.[/ADDED]"
대화가 확장되어 두 인물 간의 관계와 감정을 더 자세히 다룸.,"“선생님은 절 모르셨겠지만 전 선생님을전부터 잘 알고 있었어요.” “어떻게요?”[ADDED] “저의 집 아래채에 드신 그이의 부인에게서요.” “그이가 제 말을 무어라고 그랬나요?” “나쁘게야 말씀하였겠습니까만은 선생님이 어떤 분이라는 것을 그이의 말 을 듣고서 알았어요.” “네, 그러세요. 아주 못난 사람이라고 그러지요?” “천만에요. 그럴 리가 있나요. 그리고 저는 영애를 잘 압니다. 그녀와는 동창생이니까요.” 채영은 무심코 나온 말에 스스로 놀라서 종호의 기색을 살폈다. “네? 그러세요.” 종호는 놀라는 듯하더니 머리를 숙였다. 숙인 얼굴에는 우수가 떠오르는 것이었다. 그러나 종호는 곧 안색을 고치고 입을 열었다. “그러면 저의 일을 잘 아시겠습니다그려.” 그는 쓸쓸히 웃었다. “선생님의 일을 어떻게 다 알겠습니까. 영애와 선생님의 일을 대강 알 뿐 이지요.” “그러시겠지요. 그러면 영애 씨가 다른 사람과 결혼을 하게 된 것도 잘아 시겠군요.” “네, 바로 내일이 결혼날 아니에요?” “벌써 그렇게 되었군요. 그녀 자신을 위해서는 그렇게 될 수밖에 없겠지 요.” 종호는 채영의 말을 기다렸다. “글쎄요, 그럴까요?” “그녀는 나무나 가난에 쪼들려 왔으니까요.” “그래요.” 채영은 동의를 표하였으나 자신의 처지를 떠올리고 얼굴이 화끈 달아서 머리를 숙이고 말았다. 그들은 묵묵히 걸어 동물원의 마당 한 옆에 놓인 의자에 앉았다. “선생님께서는 어디에 계세요?” 채영이 침묵을 깨뜨렸다. “네, 여염집에 붙어 있습니다.” “서울에 몇 해나 계셨어요?” 종호의 말씨가 순 서울 사람과는 달랐기 때문에도 그렇지만 그가 어쩐지 객고에 부대낀 듯한 까닭에 채영은 물었다. [/ADDED]"
사슴을 추적하는 인물의 관찰과 사슴의 도주 시도가 추가됨.," 발자국은 두 마리의 것이었다. 암수가 앞서거니 뒤서거니 어디로 가노라고 떠난 것이었다.[ADDED] 활과 칼을 가진 이가 그들을 뒤따르고 있는 것을 생각하면 조신은 제가 그 사슴이가 된 것 같았다. 될 수 있으면 앞서 달려가서 사슴 에게 일러 주고 싶었다. 사슴들은 똑바로 가지는 아니하였다. 그들은 제 발자국이 무엇을 의미하는 지를 안다. 그들은 가끔 방향을 바꾸기도 하고 어떤 등성이나 골짜기에는 발자국을 어지려 놓기도 하였다. 무척 제 자국을 감추려고 애를 썼으나 땅 을 밟지 아니하고는 갈 수 없는 그들이라 아무리 하여도 자국은 남았다. 혹 은 바위를 타고 넘고 혹은 아직 얼어붙지 아니한 시냇물을 밟아서 아무쪼록 제 자국을 감추려 한 사슴 자웅의 심사가 가여웠다. 열에 아홉은 이 두 사슴 중에 적어도 한 마리는 목숨의 끝날이 왔다고 조 신은 생각하고 한없이 슬펐다. ""인연과 업보!"" 하고 조신은 닥쳐오는 운명을 벗어나기 어려움을 마음이 아프도록 절실하게 느꼈다. 다행한 것은, 사슴들의 발자국이 평목의 시신이 누워 있는 굴과는 딴 방향 으로 향한 것이다. 조신이 인연을 생각하고 업보를 생각하면서 손님의 뒤를 따르고 있을 때에 문득 손님이 우뚝 거름을 멈추고 몸을 나무 뒤에 감추었다. 조신도 손님이 하는 대로 하고 손님이 바라보는 방향을 바라보았다. ""있다!"" 하고 조신은 속으로 외쳤다. 한 백 보나 떨어쳐서 싸리 포기들이 흔들리는 속에 사슴 두 마리가 서서 멀리 남쪽을 바라보고 있었다. [/ADDED]"
